Strain,Stress (ksi)
0,0
0.00024,6
0.00048,12
0.00072,18
0.00096,24
0.0012,30
0.00144,36
0.0017,42
0.00202,48
0.00264,54
0.00264,54
0.00275,54.67
0.00288,55.33
0.00302,56
0.00319,56.67
0.00337,57.33
0.00358,58
0.00382,58.67
0.00409,59.33
0.0044,60
0.00475,60.67
0.00515,61.33
0.0056,62
0.00612,62.67
0.00671,63.33
0.00737,64
0.00812,64.67
0.00898,65.33
0.00995,66
0.01105,66.67
0.01229,67.33
0.01369,68
0.01527,68.67
0.01706,69.33
0.01907,70
0.02134,70.67
0.02388,71.33
0.02675,72
0.02996,72.67
0.03356,73.33
0.0376,74
0.04212,74.67
0.04712,75.33
0.05282,76
0.05913,76.67
0.06616,77.33
0.07399,78
0.08272,78.67
0.09242,79.33
0.1032,80
